Time (s)	Position (m)
6.380000	-0.234872
6.390000	-0.235284
6.400000	-0.235690
6.410000	-0.236088
6.420000	-0.236479
6.430000	-0.236862
6.440000	-0.237239
6.450000	-0.237608
6.460000	-0.237970
6.470000	-0.238325
6.480000	-0.238673
6.490000	-0.239014
6.500000	-0.239347
6.510000	-0.239674
6.520000	-0.239993
6.530000	-0.240306
6.540000	-0.240611
6.550000	-0.240910
6.560000	-0.241201
6.570000	-0.241486
6.580000	-0.241763
6.590000	-0.242034
6.600000	-0.242298
6.610000	-0.242555
6.620000	-0.242805
6.630000	-0.243048
6.640000	-0.243285
6.650000	-0.243514
6.660000	-0.243737
6.670000	-0.243953
6.680000	-0.244163
6.690000	-0.244366
6.700000	-0.244562
6.710000	-0.244751
6.720000	-0.244934
6.730000	-0.245110
6.740000	-0.245280
6.750000	-0.245443
6.760000	-0.245600
6.770000	-0.245750
6.780000	-0.245893
6.790000	-0.246030
6.800000	-0.246161
6.810000	-0.246285
6.820000	-0.246403
6.830000	-0.246515
6.840000	-0.246620
6.850000	-0.246718
6.860000	-0.246811
6.870000	-0.246897
6.880000	-0.246977
6.890000	-0.247050
6.900000	-0.247118
6.910000	-0.247179
6.920000	-0.247234
6.930000	-0.247283
6.940000	-0.247325
6.950000	-0.247362
6.960000	-0.247393
6.970000	-0.247417
6.980000	-0.247436
6.990000	-0.247448
7.000000	-0.247454
7.010000	-0.247455
7.020000	-0.247450
7.030000	-0.247438
7.040000	-0.247421
7.050000	-0.247398
7.060000	-0.247369
7.070000	-0.247334
7.080000	-0.247293
7.090000	-0.247247
7.100000	-0.247195
7.110000	-0.247137
7.120000	-0.247073
7.130000	-0.247004
7.140000	-0.246929
7.150000	-0.246849
7.160000	-0.246763
7.170000	-0.246671
7.180000	-0.246574
7.190000	-0.246471
7.200000	-0.246363
7.210000	-0.246249
7.220000	-0.246130
7.230000	-0.246005
7.240000	-0.245875
7.250000	-0.245740
7.260000	-0.245599
7.270000	-0.245453
7.280000	-0.245301
7.290000	-0.245144
7.300000	-0.244982
7.310000	-0.244815
7.320000	-0.244643
7.330000	-0.244465
7.340000	-0.244282
7.350000	-0.244094
7.360000	-0.243901
7.370000	-0.243703
7.380000	-0.243500
7.390000	-0.243292
7.400000	-0.243078
7.410000	-0.242860
7.420000	-0.242637
7.430000	-0.242409
7.440000	-0.242176
7.450000	-0.241938
7.460000	-0.241695
7.470000	-0.241448
7.480000	-0.241195
7.490000	-0.240938
7.500000	-0.240676
7.510000	-0.240409
7.520000	-0.240138
7.530000	-0.239862
7.540000	-0.239581
7.550000	-0.239296
7.560000	-0.239006
7.570000	-0.238711
7.580000	-0.238412
7.590000	-0.238108
7.600000	-0.237800
7.610000	-0.237487
7.620000	-0.237170
7.630000	-0.236849
7.640000	-0.236523
7.650000	-0.236193
7.660000	-0.235858
7.670000	-0.235519
7.680000	-0.235175
7.690000	-0.234828
7.700000	-0.234476
7.710000	-0.234120
7.720000	-0.233760
7.730000	-0.233395
7.740000	-0.233027
7.750000	-0.232654
7.760000	-0.232277
7.770000	-0.231896
7.780000	-0.231511
7.790000	-0.231122
7.800000	-0.230729
7.810000	-0.230332
7.820000	-0.229931
7.830000	-0.229526
7.840000	-0.229118
7.850000	-0.228705
7.860000	-0.228289
7.870000	-0.227868
7.880000	-0.227444
7.890000	-0.227016
7.900000	-0.226585
7.910000	-0.226149
7.920000	-0.225710
7.930000	-0.225268
7.940000	-0.224821
7.950000	-0.224371
7.960000	-0.223918
7.970000	-0.223461
7.980000	-0.223000
7.990000	-0.222536
8.000000	-0.222068
8.010000	-0.221597
8.020000	-0.221122
8.030000	-0.220644
8.040000	-0.220163
8.050000	-0.219678
8.060000	-0.219190
8.070000	-0.218698
8.080000	-0.218204
8.090000	-0.217706
8.100000	-0.217204
8.110000	-0.216700
8.120000	-0.216192
8.130000	-0.215681
8.140000	-0.215167
8.150000	-0.214650
8.160000	-0.214130
8.170000	-0.213607
8.180000	-0.213080
8.190000	-0.212551
8.200000	-0.212019
8.210000	-0.211483
8.220000	-0.210945
8.230000	-0.210404
8.240000	-0.209860
8.250000	-0.209313
8.260000	-0.208763
8.270000	-0.208210
8.280000	-0.207655
8.290000	-0.207097
8.300000	-0.206536
8.310000	-0.205972
8.320000	-0.205406
8.330000	-0.204837
8.340000	-0.204265
8.350000	-0.203691
8.360000	-0.203114
8.370000	-0.202534
8.380000	-0.201952
8.390000	-0.201367
8.400000	-0.200780
8.410000	-0.200191
8.420000	-0.199599
8.430000	-0.199004
8.440000	-0.198407
8.450000	-0.197808
8.460000	-0.197206
8.470000	-0.196602
8.480000	-0.195996
8.490000	-0.195387
8.500000	-0.194776
8.510000	-0.194163
8.520000	-0.193548
8.530000	-0.192930
8.540000	-0.192310
8.550000	-0.191689
8.560000	-0.191065
8.570000	-0.190438
8.580000	-0.189810
8.590000	-0.189180
8.600000	-0.188548
8.610000	-0.187913
8.620000	-0.187277
8.630000	-0.186639
8.640000	-0.185999
8.650000	-0.185357
8.660000	-0.184712
8.670000	-0.184067
