Time (s)	Position (m)
7.150000	-0.244349
7.160000	-0.244263
7.170000	-0.244171
7.180000	-0.244074
7.190000	-0.243971
7.200000	-0.243863
7.210000	-0.243750
7.220000	-0.243631
7.230000	-0.243507
7.240000	-0.243377
7.250000	-0.243242
7.260000	-0.243102
7.270000	-0.242956
7.280000	-0.242806
7.290000	-0.242650
7.300000	-0.242489
7.310000	-0.242322
7.320000	-0.242151
7.330000	-0.241974
7.340000	-0.241792
7.350000	-0.241606
7.360000	-0.241414
7.370000	-0.241217
7.380000	-0.241015
7.390000	-0.240808
7.400000	-0.240596
7.410000	-0.240380
7.420000	-0.240158
7.430000	-0.239932
7.440000	-0.239700
7.450000	-0.239464
7.460000	-0.239223
7.470000	-0.238977
7.480000	-0.238727
7.490000	-0.238471
7.500000	-0.238212
7.510000	-0.237947
7.520000	-0.237678
7.530000	-0.237404
7.540000	-0.237125
7.550000	-0.236842
7.560000	-0.236554
7.570000	-0.236262
7.580000	-0.235966
7.590000	-0.235665
7.600000	-0.235359
7.610000	-0.235049
7.620000	-0.234735
7.630000	-0.234416
7.640000	-0.234093
7.650000	-0.233765
7.660000	-0.233433
7.670000	-0.233097
7.680000	-0.232757
7.690000	-0.232412
7.700000	-0.232064
7.710000	-0.231711
7.720000	-0.231354
7.730000	-0.230993
7.740000	-0.230627
7.750000	-0.230258
7.760000	-0.229885
7.770000	-0.229507
7.780000	-0.229126
7.790000	-0.228740
7.800000	-0.228351
7.810000	-0.227958
7.820000	-0.227561
7.830000	-0.227160
7.840000	-0.226755
7.850000	-0.226346
7.860000	-0.225934
7.870000	-0.225517
7.880000	-0.225097
7.890000	-0.224673
7.900000	-0.224246
7.910000	-0.223815
7.920000	-0.223380
7.930000	-0.222942
7.940000	-0.222500
7.950000	-0.222054
7.960000	-0.221605
7.970000	-0.221153
7.980000	-0.220696
7.990000	-0.220237
8.000000	-0.219774
8.010000	-0.219307
8.020000	-0.218838
8.030000	-0.218364
8.040000	-0.217888
8.050000	-0.217408
8.060000	-0.216925
8.070000	-0.216438
8.080000	-0.215948
8.090000	-0.215455
8.100000	-0.214959
8.110000	-0.214460
8.120000	-0.213958
8.130000	-0.213452
8.140000	-0.212943
8.150000	-0.212432
8.160000	-0.211917
8.170000	-0.211399
8.180000	-0.210878
8.190000	-0.210354
8.200000	-0.209827
8.210000	-0.209298
8.220000	-0.208765
8.230000	-0.208230
8.240000	-0.207691
8.250000	-0.207150
8.260000	-0.206606
8.270000	-0.206059
8.280000	-0.205510
8.290000	-0.204958
8.300000	-0.204403
8.310000	-0.203845
8.320000	-0.203285
8.330000	-0.202722
8.340000	-0.202156
8.350000	-0.201588
8.360000	-0.201017
8.370000	-0.200444
8.380000	-0.199868
8.390000	-0.199290
8.400000	-0.198709
8.410000	-0.198126
8.420000	-0.197540
8.430000	-0.196952
8.440000	-0.196362
8.450000	-0.195769
8.460000	-0.195174
8.470000	-0.194577
8.480000	-0.193977
8.490000	-0.193375
8.500000	-0.192771
8.510000	-0.192165
8.520000	-0.191556
8.530000	-0.190945
8.540000	-0.190333
8.550000	-0.189718
8.560000	-0.189101
8.570000	-0.188481
8.580000	-0.187860
8.590000	-0.187237
8.600000	-0.186612
8.610000	-0.185985
8.620000	-0.185356
8.630000	-0.184725
8.640000	-0.184092
8.650000	-0.183457
8.660000	-0.182820
8.670000	-0.182181
8.680000	-0.181541
8.690000	-0.180899
8.700000	-0.180255
8.710000	-0.179609
8.720000	-0.178962
8.730000	-0.178313
8.740000	-0.177662
8.750000	-0.177009
8.760000	-0.176355
8.770000	-0.175700
8.780000	-0.175042
8.790000	-0.174383
8.800000	-0.173723
8.810000	-0.173061
8.820000	-0.172398
8.830000	-0.171733
8.840000	-0.171066
8.850000	-0.170398
8.860000	-0.169729
8.870000	-0.169058
8.880000	-0.168386
8.890000	-0.167713
8.900000	-0.167038
8.910000	-0.166362
8.920000	-0.165685
8.930000	-0.165006
8.940000	-0.164326
8.950000	-0.163645
8.960000	-0.162963
8.970000	-0.162280
8.980000	-0.161595
8.990000	-0.160909
9.000000	-0.160222
9.010000	-0.159534
9.020000	-0.158845
9.030000	-0.158155
9.040000	-0.157464
9.050000	-0.156772
9.060000	-0.156079
9.070000	-0.155385
9.080000	-0.154690
9.090000	-0.153994
9.100000	-0.153297
9.110000	-0.152599
9.120000	-0.151900
9.130000	-0.151201
9.140000	-0.150500
9.150000	-0.149799
9.160000	-0.149097
9.170000	-0.148394
9.180000	-0.147691
9.190000	-0.146987
9.200000	-0.146282
9.210000	-0.145576
9.220000	-0.144870
9.230000	-0.144163
9.240000	-0.143455
9.250000	-0.142747
9.260000	-0.142038
9.270000	-0.141329
9.280000	-0.140619
9.290000	-0.139909
9.300000	-0.139198
9.310000	-0.138486
9.320000	-0.137774
9.330000	-0.137062
9.340000	-0.136349
9.350000	-0.135636
9.360000	-0.134922
9.370000	-0.134208
9.380000	-0.133494
9.390000	-0.132779
9.400000	-0.132064
9.410000	-0.131349
9.420000	-0.130633
9.430000	-0.129917
9.440000	-0.129201
9.450000	-0.128484
9.460000	-0.127768
9.470000	-0.127051
9.480000	-0.126334
9.490000	-0.125617
9.500000	-0.124899
9.510000	-0.124182
9.520000	-0.123464
9.530000	-0.122746
9.540000	-0.122029
9.550000	-0.121311
9.560000	-0.120593
9.570000	-0.119875
9.580000	-0.119157
9.590000	-0.118439
9.600000	-0.117722
9.610000	-0.117004
9.620000	-0.116286
9.630000	-0.115568
9.640000	-0.114851
9.650000	-0.114133
9.660000	-0.113416
9.670000	-0.112699
9.680000	-0.111982
9.690000	-0.111265
9.700000	-0.110548
9.710000	-0.109832
9.720000	-0.109116
9.730000	-0.108400
9.740000	-0.107684
9.750000	-0.106969
9.760000	-0.106254
9.770000	-0.105539
9.780000	-0.104825
9.790000	-0.104110
9.800000	-0.103397
9.810000	-0.102683
9.820000	-0.101970
9.830000	-0.101258
9.840000	-0.100545
9.850000	-0.099834
9.860000	-0.099122
9.870000	-0.098412
9.880000	-0.097701
9.890000	-0.096991
9.900000	-0.096282
9.910000	-0.095573
9.920000	-0.094865
9.930000	-0.094157
9.940000	-0.093450
9.950000	-0.092744
9.960000	-0.092038
9.970000	-0.091332
9.980000	-0.090628
9.990000	-0.089924
10.000000	-0.089220
10.010000	-0.088517
10.020000	-0.087815
10.030000	-0.087114
10.040000	-0.086413
10.050000	-0.085714
10.060000	-0.085014
10.070000	-0.084316
10.080000	-0.083618
10.090000	-0.082922
10.100000	-0.082225
10.110000	-0.081530
10.120000	-0.080836
10.130000	-0.080142
10.140000	-0.079449
10.150000	-0.078758
10.160000	-0.078067
10.170000	-0.077377
10.180000	-0.076687
10.190000	-0.075999
10.200000	-0.075312
10.210000	-0.074625
10.220000	-0.073940
10.230000	-0.073255
10.240000	-0.072572
10.250000	-0.071889
10.260000	-0.071208
10.270000	-0.070527
10.280000	-0.069848
10.290000	-0.069169
10.300000	-0.068492
10.310000	-0.067816
10.320000	-0.067141
10.330000	-0.066466
10.340000	-0.065793
10.350000	-0.065122
10.360000	-0.064451
10.370000	-0.063781
10.380000	-0.063113
10.390000	-0.062445
10.400000	-0.061779
10.410000	-0.061114
10.420000	-0.060450
10.430000	-0.059788
10.440000	-0.059126
10.450000	-0.058466
10.460000	-0.057807
10.470000	-0.057149
10.480000	-0.056493
10.490000	-0.055838
10.500000	-0.055184
10.510000	-0.054532
10.520000	-0.053880
10.530000	-0.053230
10.540000	-0.052582
10.550000	-0.051934
10.560000	-0.051288
10.570000	-0.050644
10.580000	-0.050001
10.590000	-0.049359
10.600000	-0.048718
10.610000	-0.048079
10.620000	-0.047441
10.630000	-0.046805
10.640000	-0.046170
10.650000	-0.045537
10.660000	-0.044905
10.670000	-0.044274
10.680000	-0.043645
10.690000	-0.043018
10.700000	-0.042391
10.710000	-0.041767
10.720000	-0.041144
10.730000	-0.040522
